experiment,position,genotype
DE4,22,cybB
DE4,23,WT
DE4,24,flgH
DE4,25,yajQ
DE4,26,yegP
DE4,27,yoaB
DE4,28,fbaB
DE4,29,yecN
DE4,30,yfbT
DE4,31,ydhO
DE4,32,proQ
DE4,33,trmC
DE4,34,yfgH
DE4,35,WT
DE4,36,phnM
DE4,37,prpB
DE4,38,yaiL
DE4,39,yliH
DE4,40,ygfI
DE4,41,yeaD
DE4,42,yncG
DE4,43,ybcL
DE4,44,ychE
DE4,45,pspG
DE4,46,pioO
DE4,47,WT
DE4,48,dam
DE4,49,wbbK
DE4,50,hokD
DE4,51,mdtI
DE4,52,rfaB
DE4,53,puuB
DE4,54,yibF
DE4,55,yjiW
DE4,56,ecpD
DE4,57,intD
DE4,58,napD
DE4,59,WT
DE4,60,udp
DE4,61,ssuE
DE4,62,mhpD
DE4,63,yidL
DE4,64,livF
DE4,65,poxA
DE4,66,potG
DE4,67,yebA
DE4,68,ysgA
DE4,69,prfB
DE4,70,recQ
DE4,71,WT
DE4,72,dgoT
DE4,73,yidR
DE4,74,ypfJ
DE4,75,yicI
DE4,76,rpsT
DE4,77,csiE
DE4,78,baeR
DE4,79,flgM
DE4,80,fecI
DE4,81,flu
DE4,82,ybdA
DE4,83,WT
DE4,84,rpoD
DE4,85,ydcZ
DE4,86,ynbB
DE4,87,yffI
DE4,88,mdtE
DE4,89,thiI
DE4,90,mobA
DE4,91,yfjY
DE4,92,gadA
DE4,93,rzpR
DE4,94,betT
DE4,95,WT
DE5,0,mrdA point mutation
DE5,1,fliO
DE5,2,tolQ
DE5,3,quad mut adhesin
DE5,4,WT
DE5,5,crp
DE5,6,pdxH
DE5,7,lon
DE5,8,
DE5,9,
DE5,10,
DE5,11,
DE5,12,fis
DE5,13,gpmI
DE5,14,pgm
DE5,15,yfgA
DE5,16,WT
DE5,17,MC1000 mreB
DE5,18,moaE
DE5,19,mrcB
DE5,20,surA
DE5,21,lon
DE5,22,yfgA
DE5,23,tolQ
DE5,24,rfaF
DE5,25,surA
DE5,26,dsbA
DE5,27,lpcA
DE5,28,WT
DE5,29,MC1000
DE5,30,ychJ
DE5,31,tatB
DE5,32,yciB
DE5,33,rcsC
DE5,34,ihfB
DE5,35,recB
DE5,36,recB
DE5,37,ihfB
DE5,38,ompR
DE5,39,tatC
DE5,40,WT
DE5,41,tolB
DE5,42,cyaA
DE5,43,mrdA point mutation
DE5,44,fis
DE5,45,MC1000
DE5,46,guaB
DE5,47,holD
DE5,48,tatB
DE5,49,yciB
DE5,50,DH5alpha
DE5,51,MG1655
DE5,52,WT
DE5,53,quad mut poly
DE5,54,tolB
DE5,55,yfgC
DE5,56,crp
DE5,57,quad mut adhesin
DE5,58,ddlB
DE5,59,lpcA
DE5,60,csgA
DE5,61,lacA
DE5,62,fimC
DE5,63,cyaA
DE5,64,WT
DE5,65,rcsC
DE5,66,fliO
DE5,67,fimC
DE5,68,ompR
DE5,69,gpmI
DE5,70,tatC
DE5,71,lacA
DE5,72,ddlB
DE5,73,yfgC
DE5,74,guaB
DE5,75,holD
DE5,76,WT
DE5,77,ycbC
DE5,78,pgm
DE5,79,rfaF
DE5,80,quad mut poly
DE5,81,ycbC
DE5,82,M1000 mreB
DE5,83,lipA
DE5,84,
DE5,85,mrcB
DE5,86,moaE
DE5,87,ychJ
DE5,88,WT
DE5,89,lipA
DE5,90,MG1655
DE5,91,pdxH
DE5,92,DH5alpha
DE5,93,dsbA
DE5,94,
DE5,95,
mreB,0,mreB-A1
mreB,1,mreB-A2
mreB,2,mreB-A3
mreB,3,mreB-A4
mreB,4,mreB-A5
mreB,5,mreB-A6
mreB,6,mreB-A7
mreB,7,mreB-A8
mreB,8,mreB-A9
mreB,9,mreB-A10
mreB,10,mreB-A11
mreB,11,mreB-A12
mreB,12,mreB-B1
mreB,13,mreB-B2
mreB,14,mreB-B3
mreB,15,mreB-B4
mreB,16,mreB-B5
mreB,17,mreB-B6
mreB,18,mreB-B7
mreB,19,mreB-B8
mreB,20,mreB-B9
mreB,21,mreB-B10
mreB,22,mreB-B11
mreB,23,B12
mreB,24,
mreB,25,mreB-C2
mreB,26,mreB-C3
mreB,27,mreB-C4
mreB,28,mreB-C5
mreB,29,mreB-C6
mreB,30,mreB-C7
mreB,31,mreB-C8
mreB,32,mreB-C9
mreB,33,mreB-C10
mreB,34,mreB-C11
mreB,35,mreB-C12
mreB,36,mreB-D1
mreB,37,mreB-D2
mreB,38,mreB-D3
mreB,39,mreB-D4
mreB,40,mreB-D5
mreB,41,mreB-D6
mreB,42,mreB-D7
mreB,43,mreB-D8
mreB,44,mreB-D9
mreB,45,mreB-D10
mreB,46,mreB-D11
mreB,47,mreB-D12
mreB,48,mreB-E1
mreB,49,mreB-E2
mreB,50,mreB-E3
mreB,51,mreB-E4
mreB,52,mreB-E5
mreB,53,mreB-E6
mreB,54,mreB-E7
mreB,55,mreB-E8
mreB,56,mreB-E9
mreB,57,mreB-E10
mreB,58,mreB-E11
mreB,59,mreB-E12
mreB,60,
mreB,61,mreB-F2
mreB,62,mreB-F3
mreB,63,mreB-F4
mreB,64,mreB-F5
mreB,65,mreB-F6
mreB,66,mreB-F7
mreB,67,mreB-F8
mreB,68,mreB-F9
mreB,69,mreB-F10
mreB,70,mreB-F11
mreB,71,mreB-F12
mreB,72,mreB-G1
mreB,73,mreB-G2
mreB,74,mreB-G3
mreB,75,mreB-G4
mreB,76,mreB-G5
mreB,77,mreB-G6
mreB,78,mreB-G7
mreB,79,mreB-G8
mreB,80,mreB-G9
mreB,81,mreB-G10
mreB,82,mreB-G11
mreB,83,mreB-G12
mreB,84,mreB-H1
mreB,85,mreB-H2
mreB,86,mreB-H3
mreB,87,mreB-H4
mreB,88,mreB-H5
mreB,89,mreB-H6
mreB,90,mreB-H7
mreB,91,mreB-H8
mreB,92,mreB-H9
mreB,93,mreB-H10
mreB,94,mreB-H11
mreB,95,mreB-H12
mrdA,0, 
mrdA,1,
mrdA,2,
mrdA,3,
mrdA,4,
mrdA,5,
mrdA,6,
mrdA,7,
mrdA,8,
mrdA,9,
mrdA,10,
mrdA,11,
mrdA,12,
mrdA,13,
mrdA,14,
mrdA,15,
mrdA,16,
mrdA,17,
mrdA,18,
mrdA,19,
mrdA,20,
mrdA,21,
mrdA,22,
mrdA,23,
mrdA,24,mrdA-C1
mrdA,25,mrdA-C2
mrdA,26,mrdA-C3
mrdA,27,mrdA-C4
mrdA,28,mrdA-C5
mrdA,29,mrdA-C6
mrdA,30,mrdA-C7
mrdA,31,mrdA-C8
mrdA,32,mrdA-C9
mrdA,33,
mrdA,34,
mrdA,35,
mrdA,36,mrdA-D1
mrdA,37,mrdA-D2
mrdA,38,mrdA-D3
mrdA,39,mrdA-D4
mrdA,40,mrdA-D5
mrdA,41,mrdA-D6
mrdA,42,mrdA-D7
mrdA,43,mrdA-D8
mrdA,44,mrdA-D9
mrdA,45,mrdA-D10
mrdA,46,
mrdA,47,
mrdA,48,mrdA-E1
mrdA,49,mrdA-E2
mrdA,50,mrdA-E3
mrdA,51,mrdA-E4
mrdA,52,mrdA-E5
mrdA,53,mrdA-E6
mrdA,54,mrdA-E7
mrdA,55,mrdA-E8
mrdA,56,mrdA-E9
mrdA,57,mrdA-E10
mrdA,58,
mrdA,59,
mrdA,60,mrdA-F1
mrdA,61,mrdA-F2
mrdA,62,mrdA-F3
mrdA,63,mrdA-F4
mrdA,64,mrdA-F5
mrdA,65,mrdA-F6
mrdA,66,mrdA-F7
mrdA,67,mrdA-F8
mrdA,68,mrdA-F9
mrdA,69,mrdA-F10
mrdA,70,
mrdA,71,
mrdA,72,
mrdA,73,
mrdA,74,
mrdA,75,
mrdA,76,
mrdA,77,
mrdA,78,
mrdA,79,
mrdA,80,
mrdA,81,
mrdA,82,
mrdA,83,
mrdA,84,
mrdA,85,
mrdA,86,
mrdA,87,
mrdA,88,
mrdA,89,
mrdA,90,
mrdA,91,
mrdA,92,
mrdA,93,
mrdA,94,
mrdA,95,
