Plate,Position,Genotype,Weighted mean of relative MSD,Standard error of relative MSD,Number of replicates for MSD,Relative colony area mean,Relative colony area standard error,Relative front roughness mean,Relative front roughness standard error,Relative growth layer depth mean,Relative growth layer depth standard error,Relative colony thickness mean,Relative colony thickness standard error,Number of replicates for phenotypic traits,Cell major axis,Cell minor axis,Cell aspect ratio,Cell major axis standard error,Cell minor axis standard error,Cell volume,Cell surface area
DE1,12,WT,1.046513417,0.117792899,2,,,,,,,,,1,nan,nan,nan,nan,nan,nan,nan
DE1,13,nuoJ,1.018389103,0.100770725,3,,,,,,,,,1,35.46264659,11.66312778,3.040577731,nan,nan,3223.764875,1256.637297
DE1,14,glk,0.873828931,0.165897481,2,,,,,,,,,1,34.70316552,11.64826131,2.979257127,nan,nan,3126.4397,1226.928165
DE1,15,evgA,0.809426288,0.096419227,2,,,,,,,,,1,32.51999077,11.71466743,2.776006315,nan,nan,2939.606514,1153.315007
DE1,16,gnd,1.055191669,0.124416837,2,0.68015065,0.014214077,1.540061142,0.027347035,1.428982815,0.044014196,1.042557418,2.07E-06,2,37.49357429,10.97605531,3.415942543,nan,nan,3083.759081,1249.765331
DE1,17,aceA,nan,nan,0,,,,,,,,,0,34.74937494,11.2922873,3.07726628,nan,nan,2931.381184,1180.735535
DE1,18,kdpD,nan,nan,0,,,,,,,,,0,35.25930538,11.97668648,2.943995022,nan,nan,3384.819056,1285.101753
DE1,19,nuoG,1.015994214,0.134782291,3,0.704107473,0.014723678,1.14612038,0.019170666,0.994703535,0.030004706,0.925708263,1.68E-06,2,36.52340425,11.240477,3.249275297,nan,nan,3117.157989,1246.790171
DE1,20,rstA,0.602760947,0.078830192,2,0.733917642,0.010806086,0.711563073,0.009105504,1.267088567,0.023344823,1.038810632,2.01E-06,2,44.63267911,11.49561578,3.882582714,nan,nan,4070.404476,1563.067437
DE1,21,rstB,nan,nan,1,,,,,,,,,1,35.36847683,11.64411121,3.037456116,nan,nan,3250.494838,1261.104669
DE1,22,basR,0.77059387,0.106624021,2,0.892346468,0.013098961,0.97052823,0.011718376,1.07921158,0.024896971,0.974526139,1.73E-06,2,34.09182418,11.84178351,2.878943373,nan,nan,3205.544979,1232.471657
DE1,23,treA,1.000038926,0.123707134,3,1.029750027,0.014276847,1.032845427,0.012587256,1.498520621,0.071387196,1.03539906,1.40E-06,3,35.44878688,11.50186757,3.082002697,nan,nan,3161.88142,1243.713376
DE1,24,WT,1.061257367,0.131262856,2,1.023171598,0.015022467,1.06982341,0.013164192,1.120635364,0.016582944,1.010708669,1.73E-06,2,nan,nan,nan,nan,nan,nan,nan
DE1,25,dld,nan,nan,1,,,,,,,,,1,38.02553096,12.11282375,3.139278814,nan,nan,3727.873585,1394.226199
DE1,26,ackA,0.576936335,0.058143982,3,0.70214296,0.009797147,0.796699995,0.00707077,1.09082342,0.009400312,1.069403638,1.71E-06,3,36.41251861,11.90249739,3.059233487,nan,nan,3460.602762,1316.90992
DE1,27,yfdV,1.053339184,0.144281467,2,0.860071165,0.017854487,1.073725104,0.015154533,1.065909962,0.024732618,1.039596811,1.86E-06,2,36.88802894,11.64370292,3.168066824,nan,nan,3390.976409,1311.769807
DE1,28,cydB,0.419099575,0.063790187,3,0.535478968,0.007510335,0.591371043,0.006646803,1.807197482,0.021361187,1.140506432,2.09E-06,3,29.97381572,11.07210202,2.707147719,nan,nan,2397.609396,1003.16769
DE1,29,ypdI,1.075550633,0.123395411,2,0.881347984,0.012944359,1.244175655,0.018742823,1.024902651,0.01565484,1.023512363,1.85E-06,2,32.32218925,12.01737398,2.689621651,nan,nan,3089.558359,1184.542416
DE1,30,uhpB,nan,nan,1,,,,,,,,,0,35.68672692,11.55016892,3.08971472,nan,nan,3214.359416,1258.901351
DE1,31,lamB,nan,nan,1,,,,,,,,,1,31.07210046,11.81933593,2.628921003,nan,nan,2860.389541,1118.708004
DE1,32,dacA,0.319084173,0.051807132,2,,,,,,,,,0,38.78160032,12.3287773,3.145616096,nan,nan,3980.778872,1452.269714
DE1,33,potH,nan,nan,1,,,,,,,,,1,35.34331281,11.68199373,3.02545213,nan,nan,3250.772176,1259.570248
DE1,34,glpX,0.977330719,0.114212728,3,0.829194221,0.017257923,0.914300086,0.012155109,1.300719618,0.041967469,1.017627974,1.77E-06,2,30.27004908,10.87379836,2.783760382,nan,nan,2318.306582,985.2198264
DE1,35,nlpD,1.281127998,0.182820829,2,1.183303447,0.020093373,1.057261706,0.013377026,1.081001277,0.037467692,0.98153332,1.65E-06,2,37.02227354,11.89152174,3.113333544,nan,nan,3523.570498,1337.566871
DE1,36,WT,0.977458481,0.097805095,3,0.997265149,0.0137895,0.995694162,0.010164798,0.958136313,0.011957317,1.037587405,1.48E-06,3,nan,nan,nan,nan,nan,nan,nan
DE1,37,htpX,1.139418973,0.153583931,2,,,,,,,,,1,31.48371991,12.10210344,2.601508082,nan,nan,3035.905604,1161.536502
DE1,38,pepQ,1.087675185,0.178454087,2,,,,,,,,,1,34.152533,11.51523657,2.965855959,nan,nan,3035.985673,1197.21625
DE1,39,hyfR,nan,nan,1,,,,,,,,,1,32.53811204,11.53807857,2.82006331,nan,nan,2896.281366,1147.423541
DE1,40,iadA,1.07047111,0.14811148,2,0.652035265,0.013690479,1.016530105,0.015660203,0.982067207,0.019374126,1.036509986,2.04E-06,2,32.76765112,11.85882078,2.763145824,nan,nan,3044.276426,1179.594029
DE1,41,recA,0.23940528,0.039862646,2,0.453771178,0.006879326,0.301432834,0.003687551,1.703919266,0.016945361,1.099206807,2.65E-06,2,36.25767955,12.1860033,2.975354484,nan,nan,3633.561176,1348.812226
DE1,42,hisH,nan,nan,0,,,,,,,,,0,34.4552203,11.53524099,2.986952793,nan,nan,3081.537793,1213.427232
DE1,43,yfjL,0.857903011,0.101436057,3,0.663464097,0.009225009,1.008604464,0.012583823,1.322521595,0.027409633,1.087292189,1.77E-06,3,37.58358185,11.11594469,3.381051534,nan,nan,3176.315829,1274.272452
DE1,44,yebO,nan,nan,0,,,,,,,,,0,32.65880344,12.25998211,2.663854086,nan,nan,3239.135165,1219.227231
DE1,45,yfhM,0.978653519,0.09932288,3,0.92169056,0.01278323,1.096828388,0.012040933,0.982578175,0.016611167,1.050351,1.48E-06,3,33.38168821,12.17372749,2.742109041,nan,nan,3286.029315,1238.96903
DE1,46,ycjY,0.889183925,0.143643426,2,0.858893474,0.011951033,1.125892415,0.012566984,1.035432296,0.018784409,1.020016272,1.56E-06,3,41.73663318,13.20842695,3.159848885,nan,nan,4879.176092,1672.173739
DE1,47,ydaC,1.041050795,0.15643481,2,,,,,,,,,1,41.46767187,12.92806855,3.207568998,nan,nan,4713.465208,1637.551856
DE1,48,WT,1.090280196,0.139607162,2,1.033786428,0.015133943,1.036370216,0.013642291,1.077392554,0.025626782,1.020861693,1.69E-06,2,nan,nan,nan,nan,nan,nan,nan
DE1,49,ybiA,nan,nan,1,,,,,,,,,0,42.68018371,11.9841037,3.561399733,nan,nan,4166.016631,1550.455365
DE1,50,ylbA,1.121563377,0.131193949,2,0.728422789,0.015173634,1.054817315,0.016242683,1.050364282,0.019365348,1.045383945,2.04E-06,2,39.74847956,12.5289275,3.172536482,nan,nan,4194.527325,1511.396316
DE1,51,ybjD,0.784534303,0.080601099,3,0.880996044,0.012208476,1.17757505,0.013685864,0.997297109,0.011210483,1.040901729,1.56E-06,3,38.25644921,13.11848348,2.916224979,nan,nan,4367.076328,1522.218934
DE1,52,yagZ,1.059450275,0.130288155,2,,,,,,,,,1,41.03482407,12.85427702,3.192308987,nan,nan,4579.017327,1605.987667
DE1,53,ybcI,1.092085785,0.12385567,3,0.905142297,0.012546268,1.067684456,0.011551981,1.070795968,0.016937224,1.023521333,1.51E-06,3,41.23684494,13.58500977,3.035466713,nan,nan,5111.861178,1706.628223
DE1,54,yagJ,1.032637349,0.098772072,3,0.870308867,0.018065823,0.984686396,0.013752383,1.088734635,0.021104651,1.072159199,1.88E-06,2,38.36096928,13.22194758,2.901310041,nan,nan,4429.400006,1533.858366
DE1,55,ybaN,0.983934054,0.116566892,3,0.709820307,0.009857857,0.941304032,0.010295231,1.076326853,0.017481511,1.077481827,1.71E-06,3,41.22104131,12.74320807,3.234745998,nan,nan,4564.607992,1606.436631
DE1,56,ybbD,1.048101627,0.11940606,3,0.878619047,0.012219345,1.00145918,0.01146216,1.023351175,0.019064336,0.942688634,1.38E-06,3,40.40356372,12.39802863,3.258870014,nan,nan,4199.828525,1523.18207
DE1,57,yejK,nan,nan,0,,,,,,,,,0,44.27751015,13.04854189,3.393291796,nan,nan,5174.95664,1770.581999
DE1,58,ycgB,0.790520544,0.123001552,2,,,,,,,,,1,42.00696286,12.43251096,3.378799585,nan,nan,4425.878821,1590.179602
DE1,59,yafT,nan,nan,0,,,,,,,,,0,34.6523413,13.48151547,2.570359496,nan,nan,4085.378172,1413.970221
DE1,60,WT,0.933763664,0.100034298,2,0.943932609,0.013819426,1.1109711,0.014517927,1.016091593,0.020546307,1.010760367,1.80E-06,2,nan,nan,nan,nan,nan,nan,nan
DE1,61,yafO,nan,nan,1,,,,,,,,,1,34.18696445,13.43404479,2.54480054,nan,nan,3998.425295,1390.506579
DE1,62,yphA,0.993332497,0.111721607,3,0.808760005,0.01121307,1.143551473,0.013078258,0.994324547,0.017220727,1.056130588,1.63E-06,3,42.46893786,13.18611046,3.220732755,nan,nan,5011.583385,1711.14048
