experiment_all,strains_all,radius_all,masscut_all,maxd_all,barrg_all,xmin_all,xmax_all,ymin_all,ymax_all,manually_changed,notes
20200221_2030_mrdAc,0,3,300000,15,5,0,1205,781,903,0,
20200221_2030_mrdAc,1,3,300000,15,5,0,1205,781,903,0,
20200221_2030_mrdAc,2,3,300000,15,5,0,1205,781,903,0,
20200221_2030_mrdAc,3,3,300000,15,5,0,1205,781,903,0,
20200221_2030_mrdAc,4,3,300000,15,5,0,1205,781,903,0,
20200221_2030_mrdAc,5,3,300000,15,5,0,1205,781,903,0,
20200221_2030_mrdAc,6,3,300000,15,5,0,1205,781,903,0,
20200221_2030_mrdAc,7,3,300000,15,5,0,1205,781,903,0,
20200221_2030_mrdAc,8,3,300000,15,5,0,1205,781,903,0,
20200221_2030_mrdAc,9,3,300000,15,5,0,1205,781,903,0,
20200221_2030_mrdAc,10,3,300000,15,5,0,1205,0,87,1,
20200221_2030_mrdAc,11,3,300000,15,5,0,1205,0,87,1,
20200221_2030_mrdAc,12,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,13,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,14,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,15,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,16,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,17,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,18,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,19,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,20,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,21,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,22,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,23,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,24,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,25,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,26,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,27,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,28,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,29,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,30,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,31,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,32,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,33,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,34,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,35,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,36,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,37,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,38,3,300000,15,5,0,1205,0,87,0,
20200221_2030_mrdAc,39,3,300000,15,5,0,1205,0,87,0,
