experiment_all,strains_all,radius_all,masscut_all,maxd_all,barrg_all,xmin_all,xmax_all,ymin_all,ymax_all,manually_changed,notes,exclude
20200214_0900_DE5b,0,3,300000,18,5,800,1000,880,903,1,,
20200214_0900_DE5b,1,3,300000,18,5,1050,1205,880,903,1,went out of fov,1
20200214_0900_DE5b,2,3,300000,15,5,0,1205,781,903,0,,
20200214_0900_DE5b,3,3,300000,15,5,0,1205,0,300,1,went out of fov,1
20200214_0900_DE5b,4,3,300000,18,5,1000,1205,781,903,1,,
20200214_0900_DE5b,5,3,300000,15,5,0,1205,781,903,0,,
20200214_0900_DE5b,6,3,300000,15,5,800,1205,781,903,1,,
20200214_0900_DE5b,7,3,300000,15,5,800,1000,0,200,1,went out of fov,1
20200214_0900_DE5b,8,3,300000,15,5,0,1205,781,903,0,,
20200214_0900_DE5b,9,3,300000,15,5,0,1205,781,903,0,,
20200214_0900_DE5b,10,3,300000,15,5,0,1205,781,903,0,,
20200214_0900_DE5b,11,3,300000,15,5,0,1205,781,903,0,,
20200214_0900_DE5b,12,3,300000,15,5,800,1205,700,900,1,went out of fov,1
20200214_0900_DE5b,13,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,14,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,15,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,16,3,300000,18,5,0,1205,600,900,1,went out of fov,1
20200214_0900_DE5b,17,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,18,3,300000,18,5,800,1205,0,87,1,,
20200214_0900_DE5b,19,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,20,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,21,3,300000,18,5,500,800,700,900,1,went out of fov,1
20200214_0900_DE5b,22,3,300000,18,5,0,1205,600,900,1,went out of fov,1
20200214_0900_DE5b,23,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,24,3,300000,18,5,0,100,0,100,1,went out of fov,1
20200214_0900_DE5b,25,3,300000,15,5,0,1205,600,900,1,went out of fov,1
20200214_0900_DE5b,26,3,300000,15,5,850,1000,0,120,1,,
20200214_0900_DE5b,27,3,300000,15,5,1000,1205,0,150,1,,
20200214_0900_DE5b,28,3,300000,18,5,1000,1080,0,100,1,,
20200214_0900_DE5b,29,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,30,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,31,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,32,3,300000,18,5,0,200,0,50,1,,
20200214_0900_DE5b,33,3,300000,15,5,800,1205,0,200,1,,
20200214_0900_DE5b,34,3,300000,15,5,800,1205,0,87,1,,
20200214_0900_DE5b,35,4,300000,15,5,0,1205,0,87,1,went out of fov,1
20200214_0900_DE5b,36,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,37,3,300000,15,5,0,200,0,87,1,,
20200214_0900_DE5b,38,3,300000,18,5,0,200,0,87,1,,
20200214_0900_DE5b,39,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,40,3,300000,18,5,0,100,0,87,1,,
20200214_0900_DE5b,41,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,42,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,43,3,300000,18,5,1000,1205,0,200,1,,
20200214_0900_DE5b,44,3,300000,15,5,1000,1205,0,87,1,,
20200214_0900_DE5b,45,3,300000,15,5,0,200,0,87,1,,
20200214_0900_DE5b,46,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,47,3,300000,15,5,0,1205,600,900,1,went out of fov,1
20200214_0900_DE5b,48,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,49,3,300000,18,5,1100,1205,0,87,1,,
20200214_0900_DE5b,50,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,51,3,300000,18,5,1000,1205,0,50,1,,
20200214_0900_DE5b,52,3,300000,18,5,1100,1205,0,87,1,,
20200214_0900_DE5b,53,3,300000,15,5,0,200,0,87,1,,
20200214_0900_DE5b,54,3,300000,15,5,0,1205,0,87,0,,
20200214_0900_DE5b,55,3,300000,15,5,0,1205,0,87,0,,
