experiment_all,strains_all,radius_all,masscut_all,maxd_all,barrg_all,xmin_all,xmax_all,ymin_all,ymax_all,manually_changed,notes
20200221_0840_mrdAb,0,3,300000,15,5,0,1205,781,903,0,
20200221_0840_mrdAb,1,3,300000,15,5,0,1205,781,903,0,
20200221_0840_mrdAb,2,3,300000,15,5,0,1205,781,903,0,
20200221_0840_mrdAb,3,3,300000,15,5,0,1205,781,903,0,
20200221_0840_mrdAb,4,3,300000,15,5,0,1205,781,903,0,
20200221_0840_mrdAb,5,3,300000,15,5,0,1205,781,903,0,
20200221_0840_mrdAb,6,3,300000,15,5,0,1205,781,903,0,
20200221_0840_mrdAb,7,3,300000,15,5,0,1205,781,903,0,
20200221_0840_mrdAb,8,3,300000,15,5,0,1205,781,903,0,
20200221_0840_mrdAb,9,3,300000,15,5,0,1205,781,903,0,
20200221_0840_mrdAb,10,3,300000,15,5,0,1205,0,87,1,
20200221_0840_mrdAb,11,3,300000,15,5,0,1205,0,87,1,
20200221_0840_mrdAb,12,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,13,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,14,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,15,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,16,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,17,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,18,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,19,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,20,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,21,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,22,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,23,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,24,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,25,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,26,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,27,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,28,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,29,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,30,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,31,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,32,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,33,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,34,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,35,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,36,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,37,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,38,3,300000,15,5,0,1205,0,87,0,
20200221_0840_mrdAb,39,3,300000,15,5,0,1205,0,87,0,
