Experiment,Strain,Reason
DE2a,1,beneficial sector
,2,beneficial sector
,13,beneficial sector
,18,beneficial sector
,22,beneficial sector
,23,beneficial sector
,28,beneficial sector
,29,beneficial sector
,35,beneficial sector
,36,beneficial sector
,40,beneficial sector
,44,beneficial sector
,45,beneficial sector
,46,beneficial sector
,47,beneficial sector
,49,beneficial sector
,52,beneficial sector
,64,beneficial sector
,65,beneficial sector
,67,beneficial sector
,70,beneficial sector
,71,beneficial sector
,73,beneficial sector
,77,beneficial sector
,78,beneficial sector
,80,beneficial sector
,81,beneficial sector
,89,beneficial sector
,91,beneficial sector
,93,beneficial sector
