,Genotype,Chloramphenicol concentration (ug/mL),Expected initial mutant fraction,Measured initial mutant fraction,Measured initial mutant fraction error,Replicate,Establishment probability,Establishment probability error
121,DH5alpha,1,0.002,0.002564103,0.001810768,1,0.262993552,0.185725939
122,DH5alpha,1,0.002,0.002564103,0.001810768,2,0.414265519,0.292554141
123,DH5alpha,1,0.002,0.002564103,0.001810768,3,0.320663458,0.226452403
124,DH5alpha,1,0.002,0.002564103,0.001810768,4,0.242882815,0.171523745
125,DH5alpha,1,0.002,0.002564103,0.001810768,5,0.065912553,0.046547418
126,DH5alpha,1,0.002,0.002564103,0.001810768,6,0.062308728,0.044002398
127,DH5alpha,1,0.002,0.002564103,0.001810768,7,0.282577901,0.199556398
128,DH5alpha,1,0.005,0.01010101,0.004494436,0,0.100423857,0.044683516
129,DH5alpha,1,0.005,0.01010101,0.004494436,1,0.092895893,0.041333954
130,DH5alpha,1,0.005,0.01010101,0.004494436,2,,
131,DH5alpha,1,0.005,0.01010101,0.004494436,3,0.064179986,0.028556834
132,DH5alpha,1,0.005,0.01010101,0.004494436,4,,
133,DH5alpha,1,0.005,0.01010101,0.004494436,5,0.130570139,0.05809708
134,DH5alpha,1,0.005,0.01010101,0.004494436,6,0.116792036,0.051966524
135,DH5alpha,1,0.005,0.01010101,0.004494436,7,0.140011688,0.06229809
136,DH5alpha,1,0.02,0.020446097,0.006101382,0,0.074415957,0.022206693
137,DH5alpha,1,0.02,0.020446097,0.006101382,1,0.10230356,0.030528718
138,DH5alpha,1,0.02,0.020446097,0.006101382,2,0.04356082,0.012999118
139,DH5alpha,1,0.02,0.020446097,0.006101382,3,0.107483479,0.032074474
140,DH5alpha,1,0.02,0.020446097,0.006101382,4,0.077401649,0.023097663
141,DH5alpha,1,0.02,0.020446097,0.006101382,5,0.067108659,0.0200261
142,DH5alpha,1,0.02,0.020446097,0.006101382,6,0.073574241,0.021955514
143,DH5alpha,1,0.02,0.020446097,0.006101382,7,0.048875199,0.014584998
144,DH5alpha,2,0.002,0.002564103,0.001810768,0,0.619755283,0.437670928
145,DH5alpha,2,0.002,0.002564103,0.001810768,1,0.723232268,0.510746332
146,DH5alpha,2,0.002,0.002564103,0.001810768,2,0.828531039,0.585108281
147,DH5alpha,2,0.002,0.002564103,0.001810768,3,0.769592299,0.543485767
148,DH5alpha,2,0.002,0.002564103,0.001810768,4,0.667927741,0.471690298
149,DH5alpha,2,0.002,0.002564103,0.001810768,5,0.659125527,0.465474178
150,DH5alpha,2,0.002,0.002564103,0.001810768,6,0.934630921,0.660035975
151,DH5alpha,2,0.002,0.002564103,0.001810768,7,0.621671382,0.439024077
152,DH5alpha,2,0.005,0.01010101,0.004494436,0,0.157808918,0.070216953
153,DH5alpha,2,0.005,0.01010101,0.004494436,1,0.201274434,0.0895569
154,DH5alpha,2,0.005,0.01010101,0.004494436,2,,
155,DH5alpha,2,0.005,0.01010101,0.004494436,3,0.224629952,0.09994892
156,DH5alpha,2,0.005,0.01010101,0.004494436,4,,
157,DH5alpha,2,0.005,0.01010101,0.004494436,5,,
158,DH5alpha,2,0.005,0.01010101,0.004494436,6,,
159,DH5alpha,2,0.005,0.01010101,0.004494436,7,,
160,DH5alpha,2,0.02,0.020446097,0.006101382,0,,
161,DH5alpha,2,0.02,0.020446097,0.006101382,1,,
162,DH5alpha,2,0.02,0.020446097,0.006101382,2,,
163,DH5alpha,2,0.02,0.020446097,0.006101382,3,,
164,DH5alpha,2,0.02,0.020446097,0.006101382,4,,
165,DH5alpha,2,0.02,0.020446097,0.006101382,5,,
166,DH5alpha,2,0.02,0.020446097,0.006101382,6,,
167,DH5alpha,2,0.02,0.020446097,0.006101382,7,,
168,DH5alpha,3,0.002,0.002564103,0.001810768,0,,
169,DH5alpha,3,0.002,0.002564103,0.001810768,1,,
170,DH5alpha,3,0.002,0.002564103,0.001810768,2,1.035663798,0.731385352
171,DH5alpha,3,0.002,0.002564103,0.001810768,3,0.705459607,0.498195287
172,DH5alpha,3,0.002,0.002564103,0.001810768,4,,
173,DH5alpha,3,0.002,0.002564103,0.001810768,5,,
174,DH5alpha,3,0.002,0.002564103,0.001810768,6,,
175,DH5alpha,3,0.002,0.002564103,0.001810768,7,,
176,DH5alpha,3,0.005,0.01010101,0.004494436,0,,
177,DH5alpha,3,0.005,0.01010101,0.004494436,1,,
178,DH5alpha,3,0.005,0.01010101,0.004494436,2,,
179,DH5alpha,3,0.005,0.01010101,0.004494436,3,,
180,DH5alpha,3,0.005,0.01010101,0.004494436,4,,
181,DH5alpha,3,0.005,0.01010101,0.004494436,5,,
182,DH5alpha,3,0.005,0.01010101,0.004494436,6,,
183,DH5alpha,3,0.005,0.01010101,0.004494436,7,,
184,DH5alpha,3,0.02,0.020446097,0.006101382,0,,
185,DH5alpha,3,0.02,0.020446097,0.006101382,1,,
186,DH5alpha,3,0.02,0.020446097,0.006101382,2,,
187,DH5alpha,3,0.02,0.020446097,0.006101382,3,,
188,DH5alpha,3,0.02,0.020446097,0.006101382,4,,
189,DH5alpha,3,0.02,0.020446097,0.006101382,5,,
190,DH5alpha,3,0.02,0.020446097,0.006101382,6,,
191,DH5alpha,3,0.02,0.020446097,0.006101382,7,,
192,MG1655,0,0.002,0.001784845,0.000537671,0,0,0
193,MG1655,0,0.002,0.001784845,0.000537671,1,0,0
194,MG1655,0,0.002,0.001784845,0.000537671,2,0,0
195,MG1655,0,0.002,0.001784845,0.000537671,3,0,0
196,MG1655,0,0.002,0.001784845,0.000537671,4,0,0
197,MG1655,0,0.002,0.001784845,0.000537671,5,0,0
198,MG1655,0,0.002,0.001784845,0.000537671,6,0,0
199,MG1655,0,0.002,0.001784845,0.000537671,7,0,0
200,MG1655,0,0.005,0.002087683,0.001042751,0,0,0
201,MG1655,0,0.005,0.002087683,0.001042751,1,0,0
202,MG1655,0,0.005,0.002087683,0.001042751,2,0,0
203,MG1655,0,0.005,0.002087683,0.001042751,3,0,0
204,MG1655,0,0.005,0.002087683,0.001042751,4,0.081774672,0.040844631
205,MG1655,0,0.005,0.002087683,0.001042751,5,0,0
206,MG1655,0,0.005,0.002087683,0.001042751,6,0,0
207,MG1655,0,0.005,0.002087683,0.001042751,7,0,0
208,MG1655,0,0.02,0.027777778,0.027389258,0,0,0
209,MG1655,0,0.02,0.027777778,0.027389258,1,0,0
210,MG1655,0,0.02,0.027777778,0.027389258,2,0,0
211,MG1655,0,0.02,0.027777778,0.027389258,3,0,0
212,MG1655,0,0.02,0.027777778,0.027389258,4,0,0
213,MG1655,0,0.02,0.027777778,0.027389258,5,0,0
214,MG1655,0,0.02,0.027777778,0.027389258,6,0,0
215,MG1655,0,0.02,0.027777778,0.027389258,7,0,0
216,MG1655,1,0.002,0.001784845,0.000537671,0,0,0
217,MG1655,1,0.002,0.001784845,0.000537671,1,0,0
218,MG1655,1,0.002,0.001784845,0.000537671,2,0,0
219,MG1655,1,0.002,0.001784845,0.000537671,3,0,0
220,MG1655,1,0.002,0.001784845,0.000537671,4,0,0
