,Genotype,Chloramphenicol concentration (ug/mL),Expected initial mutant fraction,Measured initial mutant fraction,Measured initial mutant fraction error,Replicate,Establishment probability,Establishment probability error
372,dsbA,3,0.005,0.002206964,0.000734842,4,,
373,dsbA,3,0.005,0.002206964,0.000734842,5,,
374,dsbA,3,0.005,0.002206964,0.000734842,6,,
375,dsbA,3,0.005,0.002206964,0.000734842,7,,
376,dsbA,3,0.02,0.013765678,0.002037893,0,,
377,dsbA,3,0.02,0.013765678,0.002037893,1,,
378,dsbA,3,0.02,0.013765678,0.002037893,2,,
379,dsbA,3,0.02,0.013765678,0.002037893,3,,
380,dsbA,3,0.02,0.013765678,0.002037893,4,,
381,dsbA,3,0.02,0.013765678,0.002037893,5,,
382,dsbA,3,0.02,0.013765678,0.002037893,6,,
383,dsbA,3,0.02,0.013765678,0.002037893,7,0.224215158,0.033193172
384,gpmI,0,0.002,0.002043597,0.000833442,0,0,0
385,gpmI,0,0.002,0.002043597,0.000833442,1,0,0
386,gpmI,0,0.002,0.002043597,0.000833442,2,0,0
387,gpmI,0,0.002,0.002043597,0.000833442,3,0,0
388,gpmI,0,0.002,0.002043597,0.000833442,4,0,0
389,gpmI,0,0.002,0.002043597,0.000833442,5,0,0
390,gpmI,0,0.002,0.002043597,0.000833442,6,0,0
391,gpmI,0,0.002,0.002043597,0.000833442,7,0,0
392,gpmI,0,0.005,0.00462963,0.001234453,0,0,0
393,gpmI,0,0.005,0.00462963,0.001234453,1,0,0
394,gpmI,0,0.005,0.00462963,0.001234453,2,0,0
395,gpmI,0,0.005,0.00462963,0.001234453,3,0,0
396,gpmI,0,0.005,0.00462963,0.001234453,4,0,0
397,gpmI,0,0.005,0.00462963,0.001234453,5,0,0
398,gpmI,0,0.005,0.00462963,0.001234453,6,0,0
399,gpmI,0,0.005,0.00462963,0.001234453,7,0,0
400,gpmI,0,0.02,0.016173752,0.002711665,0,0,0
401,gpmI,0,0.02,0.016173752,0.002711665,1,0.009345391,0.001566833
402,gpmI,0,0.02,0.016173752,0.002711665,2,0.00938562,0.001573578
403,gpmI,0,0.02,0.016173752,0.002711665,3,0,0
404,gpmI,0,0.02,0.016173752,0.002711665,4,0,0
405,gpmI,0,0.02,0.016173752,0.002711665,5,0,0
406,gpmI,0,0.02,0.016173752,0.002711665,6,0.009996975,0.001676076
407,gpmI,0,0.02,0.016173752,0.002711665,7,0,0
408,gpmI,1,0.002,0.002043597,0.000833442,0,0.086629887,0.035330345
409,gpmI,1,0.002,0.002043597,0.000833442,1,0,0
410,gpmI,1,0.002,0.002043597,0.000833442,2,0,0
411,gpmI,1,0.002,0.002043597,0.000833442,3,0,0
412,gpmI,1,0.002,0.002043597,0.000833442,4,0.073777789,0.030088862
413,gpmI,1,0.002,0.002043597,0.000833442,5,0,0
414,gpmI,1,0.002,0.002043597,0.000833442,6,0.066869049,0.027271265
415,gpmI,1,0.002,0.002043597,0.000833442,7,0,0
416,gpmI,1,0.005,0.00462963,0.001234453,0,0.06529681,0.017410862
417,gpmI,1,0.005,0.00462963,0.001234453,1,0,0
418,gpmI,1,0.005,0.00462963,0.001234453,2,0,0
419,gpmI,1,0.005,0.00462963,0.001234453,3,0,0
420,gpmI,1,0.005,0.00462963,0.001234453,4,0,0
421,gpmI,1,0.005,0.00462963,0.001234453,5,0,0
422,gpmI,1,0.005,0.00462963,0.001234453,6,0,0
423,gpmI,1,0.005,0.00462963,0.001234453,7,0,0
424,gpmI,1,0.02,0.016173752,0.002711665,0,0,0
425,gpmI,1,0.02,0.016173752,0.002711665,1,0.018690782,0.003133666
426,gpmI,1,0.02,0.016173752,0.002711665,2,0.01877124,0.003147155
427,gpmI,1,0.02,0.016173752,0.002711665,3,0,0
428,gpmI,1,0.02,0.016173752,0.002711665,4,0,0
429,gpmI,1,0.02,0.016173752,0.002711665,5,0.010268752,0.001721642
430,gpmI,1,0.02,0.016173752,0.002711665,6,0,0
431,gpmI,1,0.02,0.016173752,0.002711665,7,0.008024207,0.001345325
432,gpmI,2,0.002,0.002043597,0.000833442,0,0.086629887,0.035330345
433,gpmI,2,0.002,0.002043597,0.000833442,1,0.086400835,0.03523693
434,gpmI,2,0.002,0.002043597,0.000833442,2,0,0
435,gpmI,2,0.002,0.002043597,0.000833442,3,0,0
436,gpmI,2,0.002,0.002043597,0.000833442,4,0,0
437,gpmI,2,0.002,0.002043597,0.000833442,5,0.215073484,0.087713613
438,gpmI,2,0.002,0.002043597,0.000833442,6,0.066869049,0.027271265
439,gpmI,2,0.002,0.002043597,0.000833442,7,0.075296802,0.030708363
