,Genotype,Chloramphenicol concentration (ug/mL),Replicate,Fitness coefficient
257,rfaF,0,1,-0.057122
258,rfaF,0,2,-0.057306
259,rfaF,0,3,0.015368
260,rfaF,0,4,0.0079073
261,rfaF,0,5,0.034763
262,rfaF,0,6,
263,rfaF,0,7,
264,rfaF,1,0,0.23235
265,rfaF,1,1,0.16434
266,rfaF,1,2,0.2395
267,rfaF,1,3,0.25379
268,rfaF,1,4,0.38354
269,rfaF,1,5,
270,rfaF,1,6,
271,rfaF,1,7,0.18986
272,rfaF,2,0,0.19286
273,rfaF,2,1,0.70908
274,rfaF,2,2,0.54761
275,rfaF,2,3,0.497
276,rfaF,2,4,0.37205
277,rfaF,2,5,0.64561
278,rfaF,2,6,0.29163
279,rfaF,2,7,0.40134
280,rfaF,3,0,0.96276
281,rfaF,3,1,1.2834
282,rfaF,3,2,1.3229
283,rfaF,3,3,0.90551
284,rfaF,3,4,0.098222
285,rfaF,3,5,0.95283
286,rfaF,3,6,0.72263
287,rfaF,3,7,0.73014
288,tatB,0,0,-0.3946
289,tatB,0,1,-0.21967
290,tatB,0,2,0.077906
291,tatB,0,3,-0.075039
292,tatB,0,4,-0.061503
293,tatB,0,5,0.015939
294,tatB,0,6,-0.1281
295,tatB,0,7,-0.21984
296,tatB,1,0,-0.073623
297,tatB,1,1,0.12075
298,tatB,1,2,-0.023083
299,tatB,1,3,0.040851
300,tatB,1,4,0.027592
301,tatB,1,5,0.019655
302,tatB,1,6,-0.037319
303,tatB,1,7,0.051526
304,tatB,2,0,0.13712
305,tatB,2,1,0.079291
306,tatB,2,2,0.11822
307,tatB,2,3,0.1359
308,tatB,2,4,0.20207
309,tatB,2,5,0.065559
310,tatB,2,6,0.073941
311,tatB,2,7,0.12826
312,tatB,3,0,0.084355
313,tatB,3,1,0.38963
314,tatB,3,2,0.3964
315,tatB,3,3,0.35691
316,tatB,3,4,0.39626
317,tatB,3,5,0.57508
318,tatB,3,6,0.40147
319,tatB,3,7,0.29692
320,tolQ,0,0,
321,tolQ,0,1,
322,tolQ,0,2,
323,tolQ,0,3,
324,tolQ,0,4,
325,tolQ,0,5,
326,tolQ,0,6,
327,tolQ,0,7,
328,tolQ,1,0,
329,tolQ,1,1,
330,tolQ,1,2,
331,tolQ,1,3,
332,tolQ,1,4,
333,tolQ,1,5,
334,tolQ,1,6,
335,tolQ,1,7,
336,tolQ,2,0,
337,tolQ,2,1,
338,tolQ,2,2,
339,tolQ,2,3,
340,tolQ,2,4,
341,tolQ,2,5,
342,tolQ,2,6,
343,tolQ,2,7,
344,tolQ,3,0,
345,tolQ,3,1,
346,tolQ,3,2,
347,tolQ,3,3,
348,tolQ,3,4,
349,tolQ,3,5,
350,tolQ,3,6,
351,tolQ,3,7,
352,ychJ,0,0,-0.044116
353,ychJ,0,1,0.25266
354,ychJ,0,2,-0.12732
355,ychJ,0,3,-0.042241
356,ychJ,0,4,0.017404
357,ychJ,0,5,0.017415
358,ychJ,0,6,-0.11361
359,ychJ,0,7,-0.11512
360,ychJ,1,0,0.17378
361,ychJ,1,1,0.33062
362,ychJ,1,2,0.21826
363,ychJ,1,3,0.26079
364,ychJ,1,4,
365,ychJ,1,5,-0.078086
366,ychJ,1,6,0.15695
367,ychJ,1,7,0.22263
368,ychJ,2,0,-0.021334
369,ychJ,2,1,0.28181
370,ychJ,2,2,0.62337
371,ychJ,2,3,0.47864
372,ychJ,2,4,-0.13702
373,ychJ,2,5,0.39681
374,ychJ,2,6,0.17174
375,ychJ,2,7,0.41178
376,ychJ,3,0,0.8699
377,ychJ,3,1,0.4887
378,ychJ,3,2,
379,ychJ,3,3,
380,ychJ,3,4,0.57377
381,ychJ,3,5,0.35933
382,ychJ,3,6,0.66913
383,ychJ,3,7,0.51831
