3.3578,1.4434
2.2678,1.0443
1.8848,0.44314
NaN,NaN
2.6154,1.0471
2.2879,0.61853
2.671,1.5024
2.5378,1.618
1.3322,0.46216
2.1659,0.52137
1.1738,0.18649
1.5739,0.30519
1.0375,0.24611
2.4273,0.91079
1.9677,0.64551
1.0932,0.19918
1.7628,0.77421
2.0733,0.52889
1.6027,0.35194
2.4158,1.3007
3.2314,1.5687
1.9216,0.43423
NaN,NaN
0.73515,0.14043
1.2286,0.16898
2.2923,1.8709
1.0698,0.17623
0.67689,0.31317
1.0951,0.19531
2.4693,3.1384
2.3263,1.6509
3.4298,2.595
2.705,0.86748
0.4254,0.10038
1.1617,0.17048
1.0846,0.2046
1.8487,0.24544
1.9725,0.6712
NaN,NaN
1.3844,0.15416
1.7995,0.72769
0.94619,0.13625
1.992,0.35534
3.4694,4.8565
1.8835,0.59632
2.3719,0.62921
1.3171,0.22768
2.3702,0.53517
0.24366,0.032488
2.765,0.78683
1.4207,0.25934
0.74955,0.25008
1.8116,0.87032
0.84816,0.11125
1.2427,0.18749
2.6191,1.6734
2.5127,0.86759
0.92043,0.13694
1.9773,0.36404
1.2171,0.25296
2.0566,0.6884
1.8026,0.27834
1.3296,0.22567
1.8211,0.78262
2.4792,1.1014
2.5684,0.71251
2.7332,0.52615
2.8229,1.9772
2.8153,0.78595
0.91466,0.13126
0.87641,0.19333
1.4448,0.2567
1.7459,0.36847
NaN,NaN
1.4004,0.22128
1.0855,0.17312
1.0021,0.18763
2.8107,0.62383
2.4716,1.0905
2.1424,0.61518
0.59839,0.20781
0.92374,0.12064
1.7923,0.27269
1.7442,0.32171
1.9573,0.31599
0.8075,0.14226
2.5256,0.51827
0.98389,0.15482
2.4027,0.6537
2.976,0.60894
2.6344,0.73173
2.1717,0.87304
2.6477,0.64123
1.7803,0.32894
2.2915,0.41044
2.0437,0.52502
